Date,Ship_Type,Route_Type,Engine_Type,Maintenance_Status,Speed_Over_Ground_knots,Engine_Power_kW,Distance_Traveled_nm,Draft_meters,Weather_Condition,Cargo_Weight_tons,Operational_Cost_USD,Revenue_per_Voyage_USD,Turnaround_Time_hours,Efficiency_nm_per_kWh,Seasonal_Impact_Score,Weekly_Voyage_Count,Average_Load_Percentage
2023-06-04,Container Ship,Coastal,Diesel,Critical,24.59059316154752,1977.346967999249,197.5734495576722,14.578912270342698,Moderate,361.74530185615515,144773.63232711048,251205.97132968745,13.68675873090356,1.0840425652170842,1.2522908360585159,7,78.44040302461988
2023-06-11,Tanker,Transoceanic,Diesel,Critical,22.09722532151604,903.217178403836,651.0318619964072,6.494128236618094,Calm,1598.8176938526228,493190.99636280374,850774.0902620218,13.87993528498035,1.1165610387048452,1.060973935609624,5,54.80214170919859
2023-06-18,Tanker,Long-haul,Heavy Fuel Oil (HFO),Good,20.135498714664397,2870.453653167598,1961.644211734087,9.704126955728258,Rough,1731.9472995765473,470855.57288791705,310880.0054519024,49.255173168173044,0.6204540183088524,1.0179632585881644,6,70.09371693841341
2023-06-25,Fish Carrier,Short-haul,Diesel,Fair,12.220170444718542,1410.0693874689237,993.6160122477194,10.844432474041515,Rough,395.7528816581715,491564.5888921337,960719.0730705075,15.37196589417385,1.2053512819986636,1.3877526651812178,7,92.79640740337356
2023-07-02,Bulk Carrier,None,Steam Turbine,Critical,20.913590123239278,779.6622500087586,871.680651268415,11.429468441428568,Moderate,1412.3009876807937,221211.73598332453,245596.88873386238,59.465899628732046,1.3251333049575114,0.634541640661339,7,71.0896884902645
2023-07-09,Container Ship,Coastal,None,Fair,14.695753526201969,649.0155668032886,63.982549637311735,13.68108230814755,Calm,890.7807770951684,344844.8444229219,489046.28255318303,48.652415080259935,0.639090051995263,0.6014344712375463,6,79.50192386597635
2023-07-16,Bulk Carrier,Long-haul,Steam Turbine,Critical,23.063479237905128,2734.443714247786,1637.7038775028416,14.803205591393095,Moderate,484.7002567272186,493206.4091412045,491985.6251368491,26.468249924018632,1.072258266078962,0.6962815483780741,8,58.84539321300609
2023-07-23,Fish Carrier,Coastal,Heavy Fuel Oil (HFO),None,16.949957139999174,1806.090020993163,1165.5372608393886,8.651846876099992,Moderate,1737.2905588368199,413840.3157699508,669664.1482683832,65.31522739536598,0.5679826542194861,0.8013852153322238,9,89.12998598968946
2023-07-30,Bulk Carrier,Short-haul,Steam Turbine,Good,17.28105182214604,2090.173034440803,1352.2006945781288,6.748486671377333,Calm,461.96135493096705,301674.8261421058,195996.49593568707,12.608289226258083,0.7713814527011644,0.6436498255606151,8,74.40961576982167
2023-08-06,Bulk Carrier,Transoceanic,Steam Turbine,Critical,10.36416578817818,1756.2257685981795,1053.9563351018264,10.09365641536743,Calm,831.8630633342419,387238.81699599733,94207.19204898567,44.8294246170295,1.0718437994223429,1.1312037575048128,8,79.40776994988744
